,0
256,447
280,536
247,236
77,163
260,243
73,198
74,231
74,213
208,370
153,225
123,317
113,297
187,461
151,222
129,284
83,252
95,246
56,241
232,317
256,253
222,256
262,238
213,360
154,242
169,277
146,280
115,208
136,232
179,221
177,200
197,181
179,210
181,178
162,365
166,378
152,363
201,429
181,228
207,197
186,195
198,232
112,174
119,317
99,292
202,267
222,284
257,300
232,279
181,399
227,364
246,388
236,385
243,405
275,381
259,427
280,484
272,513
237,269
255,302
235,270
228,272
253,302
196,179
193,196
236,287
103,241
148,363
225,368
157,464
297,429
203,437
329,434
115,225
139,233
166,217
169,240
118,186
158,238
128,225
144,223
113,211
186,240
201,227
203,189
195,292
282,472
124,282
173,309
166,309
211,376
225,279
240,279
231,275
228,572
184,418
267,586
215,550
114,305
159,344
242,343
256,330
250,373
232,250
216,294
196,206
221,291
152,299
137,281
154,306
142,243
158,221
184,236
242,330
220,197
109,304
113,320
237,271
227,261
216,261
216,277
235,296
241,326
230,167
217,181
179,351
151,305
163,306
99,97
123,108
151,94
139,99
