,0
0,280
1,159
2,394
3,435
4,299
5,330
6,228
7,242
8,233
9,373
10,196
11,205
12,97
13,333
14,504
15,530
16,428
17,431
18,232
19,270
20,256
21,321
22,423
23,236
24,179
25,275
26,338
27,266
28,532
29,489
30,481
31,548
32,484
33,418
34,309
35,522
36,230
37,451
38,595
39,568
40,484
41,511
42,398
43,353
44,346
45,272
46,380
47,301
48,279
49,281
50,216
51,415
52,95
53,418
54,461
55,472
56,474
57,511
58,420
59,461
60,420
61,413
62,483
63,474
64,517
65,566
66,454
67,447
68,366
69,404
70,390
71,389
72,374
73,360
74,725
75,632
76,472
77,356
78,226
79,227
80,341
81,523
82,619
83,520
84,385
85,528
86,296
87,349
88,444
89,351
90,530
91,358
92,275
93,120
94,232
95,152
96,237
97,443
98,264
99,211
100,290
101,206
102,166
103,232
104,127
105,207
106,277
107,256
108,211
109,216
110,482
111,447
112,606
113,595
114,315
115,320
116,487
117,478
118,499
119,458
120,407
121,409
122,582
123,571
124,325
125,381
126,188
127,712
128,683
129,617
130,616
